file_name,subject_type,theme_type,painting_type,ground_material,purpose,objects,keywords,era
HH_0131,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 장수, 고결함, 청렴, 불로장생, 다복",광복이후
HH_0074,화훼도,식물,기타,한지,"장식, 행사","수양버들, 매화, 난초","한국전통민화, 화조도, 수양버들, 매화, 나리, 장수, 순결, 고결, 건강, 복",광복이후
HH_0166,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 명예, 행복기원",일제강점
HH_0189,화훼도,식물,공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 붉은색 모란, 흰색 모란, 부귀영화, 번영, 행복, 조선후기",조선후기
HH_0023,화훼도,식물,일필,수입지(양지),장식,소나무,"한국전통민화, 화훼도, 소나무, 장수, 절개, 강인함, 생명력",일제강점
HH_0170,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 장수, 의지",조선후기
HH_0035,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀, 영화, 번영, 장식성, 주술성",조선후기
HH_0127,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 청렴, 절개, 장수, 채색",광복이후
HH_0062,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번성, 장수, 귀함.",조선후기
HH_0019,화훼도,식물,일필,한지,장식,"기암괴석, 모란","한국전통민화, 화훼도, 모란, 기암괴석, 부귀영화, 번영, 강인함, 풍요, 희망",일제강점
HH_0058,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 민속회화",조선후기
HH_0097,화훼도,식물,일필+공필,한지,장식,"난초, 괴석","한국전통민화, 화훼도, 난초, 괴석, 절개, 고결함, 강인함, 자연의 순수함",일제강점
HH_0078,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 강인함, 장수, 복",조선후기
HH_0185,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 영원함, 번영, 기원",조선후기
HH_0193,화훼도,식물,일필+공필,한지,장식,"모란, 석류, 괴석","한국전통민화, 화훼도, 모란, 석류, 괴석, 부귀영화, 번영, 장수, 가정의 길상",조선후기
HH_0039,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 채색, 부귀영화, 행복, 풍요",조선후기
HH_0202,화훼도,식물,일필+공필,수입지(양지),"장식, 행사","괴석, 모란","한국전통민화, 화훼도, 괴석, 모란, 부귀영화, 풍요, 생명력, 조화",광복이후
HH_0081,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 순결, 고결함, 지조, 새 출발",미상
HH_0015,화훼도,동식물,일필,수입지(양지),장식,"국화, 나비, 괴석","한국전통민화, 화훼도, 국화, 나비, 괴석, 장수, 절개, 행운, 영속성",광복이후
HH_0150,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 민중적소망",조선후기
HH_0042,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 권위, 건강, 번창",조선후기
HH_0107,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 영원성, 민화자수",광복이후
