motif,symbol,source
motif:소나무,symbol:절개,triples_relation
motif:괴석,symbol:다산,triples_relation
motif:호랑이,symbol:벽사,triples_relation
motif:모란,symbol:부귀,triples_relation
motif:호랑이,symbol:권위,triples_relation
motif:괴석,symbol:괴석,triples_relation
motif:소나무,symbol:장수,triples_relation
motif:괴석,symbol:풍요,triples_relation
국화,장식,triples_relation
국화,행사,triples_relation
모란,행사,triples_relation
모란,장식,triples_relation
대나무,장식,triples_relation
파초,장식,triples_relation
파초,행사,triples_relation
매화,장식,triples_relation
괴석,장식,triples_relation
모란꽃,행사,triples_relation
접시꽃,장식,triples_relation
접시꽃,행사,triples_relation
괴석,행사,triples_relation
매화,행사,triples_relation
석류,장식,triples_relation
난초,장식,triples_relation
분홍 모란,행사,triples_relation
난초,행사,triples_relation
연꽃,장식,triples_relation
해,장식,triples_relation
흰 모란,행사,triples_relation
명자나무,장식,triples_relation
명자나무,행사,triples_relation
모란,그림,triples_relation
돼지,행사,triples_relation
대나무,행사,triples_relation
나비,장식,triples_relation
괴석상,장식,triples_relation
꽃,장식,triples_relation
모란꽃,장식,triples_relation
작약,장식,triples_relation
작약,행사,triples_relation
소나무,장식,triples_relation
등나무,장식,triples_relation
수국,장식,triples_relation
수국,행사,triples_relation
벌,장식,triples_relation
벌,행사,triples_relation
부용,장식,triples_relation
연잎,장식,triples_relation
노란 모란꽃,행사,triples_relation
오동나무,장식,triples_relation
산,장식,triples_relation
산,행사,triples_relation
괴석동물,장식,triples_relation
산 정상,장식,triples_relation
산 정상,행사,triples_relation
토끼,행사,triples_relation
학,장식,triples_relation
학,행사,triples_relation
참새,장식,triples_relation
할미새,장식,triples_relation
할미새,행사,triples_relation
금계,장식,triples_relation
금계,행사,triples_relation
새,장식,triples_relation
원앙,장식,triples_relation
원앙,행사,triples_relation
오리,장식,triples_relation
오리,행사,triples_relation
봉황,장식,triples_relation
봉황,행사,triples_relation
새,행사,triples_relation
붉은 해,장식,triples_relation
붉은 해,행사,triples_relation
백두조,장식,triples_relation
초록 새,장식,triples_relation
초록 새,행사,triples_relation
딱따구리,장식,triples_relation
딱따구리,행사,triples_relation
석류,행사,triples_relation
공작새,장식,triples_relation
모란,교육,triples_relation
기러기,장식,triples_relation
진달래,그림,triples_relation
기러기,그림,triples_relation
기러기,행사,triples_relation
앵무,장식,triples_relation
비둘기,장식,triples_relation
비둘기,행사,triples_relation
닭,장식,triples_relation
목련,장식,triples_relation
월계화,장식,triples_relation
따오기,장식,triples_relation
따오기,행사,triples_relation
물총새,장식,triples_relation
물총새,행사,triples_relation
새,세화,triples_relation
앵무,그림,triples_relation
수양버들,장식,triples_relation
수양버들,행사,triples_relation
메추라기,장식,triples_relation
석류꽃,장식,triples_relation
석류꽃,행사,triples_relation
수대조,장식,triples_relation
수대조,행사,triples_relation
앵무,행사,triples_relation
소나무,행사,triples_relation
수탉,장식,triples_relation
산사나무,장식,triples_relation
산사나무,행사,triples_relation
메추라기,행사,triples_relation
복사꽃,장식,triples_relation
복사꽃,행사,triples_relation
까치,장식,triples_relation
까치,행사,triples_relation
꿩,장식,triples_relation
꿩,행사,triples_relation
백로,장식,triples_relation
단풍나무,장식,triples_relation
단풍나무,행사,triples_relation
수탉,행사,triples_relation
참새,행사,triples_relation
무궁화,장식,triples_relation
무궁화,행사,triples_relation
진달래,장식,triples_relation
진달래,행사,triples_relation
연꽃,행사,triples_relation
파랑새,장식,triples_relation
해당화,장식,triples_relation
해당화,행사,triples_relation
동박새,장식,triples_relation
동박새,행사,triples_relation
닭,행사,triples_relation
목련,행사,triples_relation
부엉이,장식,triples_relation
월계화,행사,triples_relation
연잎,행사,triples_relation
갈대,장식,triples_relation
갈대,행사,triples_relation
백로,행사,triples_relation
비익조,장식,triples_relation
비익조,행사,triples_relation
매,장식,triples_relation
뻐꾸기,장식,triples_relation
뻐꾸기,행사,triples_relation
꾀꼬리,장식,triples_relation
불로초,장식,triples_relation
매,행사,triples_relation
꾀꼬리,행사,triples_relation
제비,장식,triples_relation
작약,그림,triples_relation
포도,장식,triples_relation
포도,행사,triples_relation
학,세화,triples_relation
암탉,장식,triples_relation
국화,그림,triples_relation
소,장식,triples_relation
소,행사,triples_relation
부엉이,행사,triples_relation
오동나무,행사,triples_relation
장미,장식,triples_relation
닭,그림,triples_relation
동백,장식,triples_relation
동백,행사,triples_relation
백두조,행사,triples_relation
두 마리 새,장식,triples_relation
두 마리 새,행사,triples_relation
나비,행사,triples_relation
대륜화,장식,triples_relation
대륜화,행사,triples_relation
영산홍,장식,triples_relation
영산홍,행사,triples_relation
토끼,장식,triples_relation
금계,그림,triples_relation
아랫부분 새,장식,triples_relation
연밥,장식,triples_relation
불로초,행사,triples_relation
작은 새,그림,triples_relation
단풍,장식,triples_relation
청조,장식,triples_relation
청조,행사,triples_relation
매화,그림,triples_relation
직약,장식,triples_relation
새,교육,triples_relation
봉황,세화,triples_relation
부용,행사,triples_relation
불수감,장식,triples_relation
복숭아,장식,triples_relation
팔가조,장식,triples_relation
팔가조,행사,triples_relation
앵무새,장식,triples_relation
앵무새,행사,triples_relation
붓꽃,장식,triples_relation
공작새,행사,triples_relation
해,행사,triples_relation
꽃,행사,triples_relation
붓꽃,행사,triples_relation
윗부분의 학,장식,triples_relation
윗부분의 학,행사,triples_relation
작은 새,장식,triples_relation
작은 새,행사,triples_relation
불수감,행사,triples_relation
도라지꽃,장식,triples_relation
제비,행사,triples_relation
흰꽃,장식,triples_relation
흰꽃,행사,triples_relation
잉어,장식,triples_relation
잉어,행사,triples_relation
아래의 학,장식,triples_relation
아래의 학,행사,triples_relation
제비,그림,triples_relation
꿩,그림,triples_relation
유자,장식,triples_relation
유자,행사,triples_relation
상단 새,장식,triples_relation
복사꽃,그림,triples_relation
매화나무,장식,triples_relation
매화나무,행사,triples_relation
작은새,장식,triples_relation
작은새,행사,triples_relation
까마귀,장식,triples_relation
까마귀,행사,triples_relation
두견새,장식,triples_relation
두견새,행사,triples_relation
수탉,세화,triples_relation
괴석,그림,triples_relation
붕어,장식,triples_relation
붕어,행사,triples_relation
원앙,그림,triples_relation
희망,장식,triples_relation
복숭아꽃,장식,triples_relation
복숭아꽃,행사,triples_relation
금계,교육,triples_relation
바위,장식,triples_relation
바위,행사,triples_relation
치자꽃,장식,triples_relation
치자꽃,행사,triples_relation
둥지,장식,triples_relation
둥지,행사,triples_relation
석류나무,장식,triples_relation
석류나무,행사,triples_relation
장미,행사,triples_relation
흰 왜가리,장식,triples_relation
흰 왜가리,행사,triples_relation
하단 새,장식,triples_relation
하단 새,행사,triples_relation
붉은 꽃,장식,triples_relation
붉은 꽃,행사,triples_relation
연꽃,그림,triples_relation
공작,장식,triples_relation
공작,행사,triples_relation
새,그림,triples_relation
나리,장식,triples_relation
석류,그림,triples_relation
병사,교육,triples_relation
병사,장식,triples_relation
장군,교육,triples_relation
장군,장식,triples_relation
가옥,장식,triples_relation
정자,장식,triples_relation
가마,장식,triples_relation
선녀,장식,triples_relation
전각,장식,triples_relation
사각정자,장식,triples_relation
성문,교육,triples_relation
성문,장식,triples_relation
무장,교육,triples_relation
무장,장식,triples_relation
기마병,교육,triples_relation
기마병,장식,triples_relation
거문고,장식,triples_relation
집단,교육,triples_relation
집단,장식,triples_relation
장비,교육,triples_relation
장비,장식,triples_relation
정자,교육,triples_relation
무관,교육,triples_relation
무관,장식,triples_relation
당나귀,교육,triples_relation
당나귀,장식,triples_relation
호랑이,행사,triples_relation
물결,행사,triples_relation
효자,교육,triples_relation
효자,장식,triples_relation
호랑이,교육,triples_relation
호랑이,장식,triples_relation
인물 군상,행사,triples_relation
기마병,행사,triples_relation
깃발,행사,triples_relation
말,교육,triples_relation
말,장식,triples_relation
군사,교육,triples_relation
군사,장식,triples_relation
매화나무,교육,triples_relation
검은 말,교육,triples_relation
검은 말,장식,triples_relation
언덕,장식,triples_relation
관우,교육,triples_relation
관우,장식,triples_relation
군중,교육,triples_relation
군중,장식,triples_relation
무사,교육,triples_relation
무사,장식,triples_relation
다리,장식,triples_relation
장수,교육,triples_relation
장수,장식,triples_relation
누각,교육,triples_relation
누각,장식,triples_relation
유비,교육,triples_relation
유비,장식,triples_relation
산,교육,triples_relation
제기,교육,triples_relation
제기,장식,triples_relation
문인,행사,triples_relation
궁인 군집,장식,triples_relation
중앙 기마장수,교육,triples_relation
중앙 기마장수,장식,triples_relation
군상,교육,triples_relation
군상,장식,triples_relation
병사 군집,교육,triples_relation
병사 군집,장식,triples_relation
방패,교육,triples_relation
방패,장식,triples_relation
춘향,장식,triples_relation
절,장식,triples_relation
인물 군상,장식,triples_relation
궁녀,교육,triples_relation
궁녀,장식,triples_relation
학,교육,triples_relation
용궁,장식,triples_relation
기와집,장식,triples_relation
성루,교육,triples_relation
성루,장식,triples_relation
권위,교육,triples_relation
권위,장식,triples_relation
삼국지,교육,triples_relation
삼국지,장식,triples_relation
구운몽,장식,triples_relation
절,교육,triples_relation
승려,교육,triples_relation
승려,장식,triples_relation
그네,장식,triples_relation
화살,행사,triples_relation
어르신,교육,triples_relation
어르신,장식,triples_relation
상단 인물,행사,triples_relation
병사,행사,triples_relation
가옥,교육,triples_relation
군사,행사,triples_relation
붉은꽃,장식,triples_relation
깃발,교육,triples_relation
깃발,장식,triples_relation
업은 인물,교육,triples_relation
업은 인물,장식,triples_relation
제갈량,교육,triples_relation
제갈량,장식,triples_relation
인물군,교육,triples_relation
인물군,장식,triples_relation
여성,장식,triples_relation
지도자,교육,triples_relation
지도자,장식,triples_relation
하단 기마장수,교육,triples_relation
하단 기마장수,장식,triples_relation
여성 인물,장식,triples_relation
도깨비머리 배,교육,triples_relation
도깨비머리 배,장식,triples_relation
격투,교육,triples_relation
격투,장식,triples_relation
조류,교육,triples_relation
조류,장식,triples_relation
은일처사,교육,triples_relation
은일처사,장식,triples_relation
소,교육,triples_relation
무장,행사,triples_relation
나리꽃,장식,triples_relation
호랑이 가죽,장식,triples_relation
배,교육,triples_relation
배,장식,triples_relation
제단,교육,triples_relation
제단,장식,triples_relation
노모,교육,triples_relation
노모,장식,triples_relation
정자,행사,triples_relation
